order_id,order_date,region,city,channel,product,category,quantity,unit_price,revenue,customer_type,promo
ORD-0031,2024-03-28,East,Boston,Retail,Travel Tumbler,Merch,1,28.00,28.00,Returning,No
ORD-0032,2024-03-30,East,New York,Web,Gift Card,Other,1,25.00,25.00,Returning,No
ORD-0033,2024-04-04,South,Atlanta,Wholesale,Espresso Capsules,Coffee,2,16.00,32.00,Returning,No
ORD-0034,2024-04-05,East,Philadelphia,Web,Espresso Capsules,Coffee,2,16.00,32.00,New,No
ORD-0035,2024-04-11,South,Miami,Retail,Ceramic Mug,Merch,1,14.00,14.00,Returning,No
ORD-0036,2024-04-15,West,Seattle,Web,Matcha Powder,Tea,1,22.00,22.00,Returning,No
ORD-0037,2024-04-15,East,Boston,Retail,Gift Card,Other,12,21.25,255.00,Returning,Yes
ORD-0038,2024-04-16,South,Miami,Web,House Blend,Coffee,3,12.50,37.50,Returning,No
ORD-0039,2024-04-19,Midwest,Minneapolis,Web,Travel Tumbler,Merch,1,23.80,23.80,Returning,Yes
ORD-0040,2024-04-20,West,Seattle,Retail,Ceramic Mug,Merch,1,14.00,14.00,Returning,No
ORD-0041,2024-04-21,West,San Francisco,Retail,Single Origin Ethiopia,Coffee,1,18.00,18.00,New,No
ORD-0042,2024-04-22,West,Portland,Web,Espresso Capsules,Coffee,1,16.00,16.00,Returning,No
ORD-0043,2024-04-22,Midwest,Chicago,Retail,Travel Tumbler,Merch,1,28.00,28.00,New,No
ORD-0044,2024-04-24,South,Austin,Web,Gift Card,Other,12,25.00,300.00,New,No
ORD-0045,2024-04-26,Midwest,Minneapolis,Web,Ceramic Mug,Merch,1,11.90,11.90,Returning,Yes
ORD-0046,2024-04-28,West,San Francisco,Wholesale,Matcha Powder,Tea,1,18.70,18.70,Returning,Yes
ORD-0047,2024-05-02,West,Seattle,Web,Single Origin Ethiopia,Coffee,1,18.00,18.00,Returning,No
ORD-0048,2024-05-04,East,New York,Web,Gift Card,Other,1,25.00,25.00,Returning,No
ORD-0049,2024-05-07,East,Boston,Web,Travel Tumbler,Merch,1,28.00,28.00,Returning,No
ORD-0050,2024-05-08,East,Philadelphia,Web,House Blend,Coffee,1,12.50,12.50,Returning,No
ORD-0051,2024-05-08,South,Austin,Web,Matcha Powder,Tea,2,22.00,44.00,Returning,No
ORD-0052,2024-05-10,East,Philadelphia,Web,House Blend,Coffee,3,10.62,31.86,New,Yes
ORD-0053,2024-05-20,East,New York,Retail,Single Origin Ethiopia,Coffee,4,18.00,72.00,New,No
ORD-0054,2024-05-25,South,Austin,Web,Espresso Capsules,Coffee,1,16.00,16.00,Returning,No
ORD-0055,2024-05-27,South,Austin,Web,Gift Card,Other,1,25.00,25.00,Returning,No
ORD-0056,2024-05-31,East,New York,Web,Chai Concentrate,Tea,2,11.00,22.00,Returning,No
ORD-0057,2024-05-31,Midwest,Detroit,Web,Gift Card,Other,1,25.00,25.00,New,No
ORD-0058,2024-06-02,South,Austin,Retail,Ceramic Mug,Merch,2,14.00,28.00,Returning,No
ORD-0059,2024-06-05,East,Philadelphia,Web,Gift Card,Other,1,25.00,25.00,Returning,No
ORD-0060,2024-06-06,West,Seattle,Wholesale,Ceramic Mug,Merch,2,11.90,23.80,Returning,Yes
ORD-0061,2024-06-07,West,Portland,Retail,Matcha Powder,Tea,3,22.00,66.00,Returning,No
ORD-0062,2024-06-10,South,Austin,Web,House Blend,Coffee,6,12.50,75.00,New,No
ORD-0063,2024-06-11,Midwest,Detroit,Web,Ceramic Mug,Merch,2,14.00,28.00,Returning,No
ORD-0064,2024-06-12,Midwest,Chicago,Web,Gift Card,Other,2,21.25,42.50,Returning,Yes
ORD-0065,2024-06-12,West,Seattle,Web,Matcha Powder,Tea,4,22.00,88.00,Returning,No
ORD-0066,2024-06-13,Midwest,Minneapolis,Web,Single Origin Ethiopia,Coffee,12,18.00,216.00,New,No
ORD-0067,2024-06-15,Midwest,Chicago,Retail,Gift Card,Other,2,21.25,42.50,Returning,Yes
ORD-0068,2024-06-18,West,San Francisco,Web,Espresso Capsules,Coffee,1,16.00,16.00,New,No
ORD-0069,2024-06-18,South,Miami,Retail,Espresso Capsules,Coffee,4,16.00,64.00,Returning,No
ORD-0070,2024-06-19,West,Seattle,Retail,Ceramic Mug,Merch,1,14.00,14.00,Returning,No
ORD-0071,2024-06-24,Midwest,Detroit,Retail,Travel Tumbler,Merch,1,28.00,28.00,Returning,No
ORD-0072,2024-06-26,East,Boston,Retail,Ceramic Mug,Merch,1,14.00,14.00,Returning,No
ORD-0073,2024-06-27,South,Miami,Web,Ceramic Mug,Merch,1,14.00,14.00,Returning,No
ORD-0074,2024-06-28,South,Austin,Web,House Blend,Coffee,3,12.50,37.50,Returning,No
ORD-0075,2024-06-30,Midwest,Detroit,Web,Espresso Capsules,Coffee,2,16.00,32.00,Returning,No
ORD-0076,2024-07-14,Midwest,Minneapolis,Retail,Gift Card,Other,2,21.25,42.50,Returning,Yes
ORD-0077,2024-07-16,South,Miami,Web,Espresso Capsules,Coffee,1,16.00,16.00,New,No
ORD-0078,2024-07-18,Midwest,Detroit,Retail,Single Origin Ethiopia,Coffee,6,18.00,108.00,Returning,No
ORD-0079,2024-07-22,East,Philadelphia,Web,Single Origin Ethiopia,Coffee,2,18.00,36.00,New,No
ORD-0080,2024-08-07,West,Seattle,Retail,Espresso Capsules,Coffee,2,13.60,27.20,New,Yes
ORD-0081,2024-08-12,East,New York,Web,Matcha Powder,Tea,4,22.00,88.00,Returning,No
ORD-0082,2024-08-13,Midwest,Chicago,Web,Matcha Powder,Tea,6,22.00,132.00,Returning,No
ORD-0083,2024-08-19,South,Austin,Web,Chai Concentrate,Tea,1,11.00,11.00,Returning,No
ORD-0084,2024-08-19,South,Miami,Wholesale,Ceramic Mug,Merch,2,11.90,23.80,Returning,Yes
ORD-0085,2024-08-19,East,New York,Retail,Ceramic Mug,Merch,1,14.00,14.00,Returning,No
ORD-0086,2024-08-19,South,Austin,Wholesale,Chai Concentrate,Tea,3,11.00,33.00,Returning,No
ORD-0087,2024-08-21,West,San Francisco,Wholesale,Gift Card,Other,2,25.00,50.00,Returning,No
ORD-0088,2024-08-23,West,Seattle,Retail,Gift Card,Other,4,25.00,100.00,Returning,No
ORD-0089,2024-09-01,East,Philadelphia,Retail,Travel Tumbler,Merch,1,23.80,23.80,Returning,Yes
ORD-0090,2024-09-03,East,New York,Web,Espresso Capsules,Coffee,1,16.00,16.00,Returning,No
ORD-0091,2024-09-05,Midwest,Minneapolis,Web,Chai Concentrate,Tea,1,11.00,11.00,New,No
ORD-0092,2024-09-12,East,Philadelphia,Retail,Gift Card,Other,1,25.00,25.00,Returning,No
ORD-0093,2024-09-13,South,Atlanta,Web,Travel Tumbler,Merch,1,23.80,23.80,New,Yes
ORD-0094,2024-09-15,South,Atlanta,Retail,Gift Card,Other,6,25.00,150.00,Returning,No
ORD-0095,2024-09-18,West,Seattle,Wholesale,Chai Concentrate,Tea,2,11.00,22.00,New,No
ORD-0096,2024-09-19,East,New York,Web,Gift Card,Other,1,25.00,25.00,Returning,No
ORD-0097,2024-09-24,South,Atlanta,Wholesale,Travel Tumbler,Merch,1,23.80,23.80,New,Yes
ORD-0098,2024-09-26,Midwest,Chicago,Wholesale,Gift Card,Other,1,25.00,25.00,Returning,No
ORD-0099,2024-09-27,East,Boston,Web,Matcha Powder,Tea,2,22.00,44.00,Returning,No
ORD-0100,2024-09-27,East,Boston,Retail,Matcha Powder,Tea,6,22.00,132.00,Returning,No
ORD-0101,2024-09-27,South,Austin,Retail,Gift Card,Other,12,25.00,300.00,Returning,No
ORD-0102,2024-09-28,West,Seattle,Retail,Gift Card,Other,1,25.00,25.00,New,No
ORD-0103,2024-09-28,West,Seattle,Wholesale,Single Origin Ethiopia,Coffee,1,18.00,18.00,Returning,No
ORD-0104,2024-09-29,East,Boston,Retail,Single Origin Ethiopia,Coffee,12,15.30,183.60,Returning,Yes
ORD-0105,2024-09-30,East,New York,Retail,Matcha Powder,Tea,4,22.00,88.00,Returning,No
ORD-0106,2024-10-01,Midwest,Chicago,Web,Matcha Powder,Tea,12,22.00,264.00,Returning,No
ORD-0107,2024-10-04,Midwest,Detroit,Retail,Matcha Powder,Tea,6,22.00,132.00,Returning,No
ORD-0108,2024-10-07,East,Philadelphia,Retail,Gift Card,Other,3,25.00,75.00,New,No
ORD-0109,2024-10-08,South,Miami,Wholesale,Matcha Powder,Tea,1,22.00,22.00,New,No
ORD-0110,2024-10-11,South,Miami,Retail,House Blend,Coffee,1,12.50,12.50,New,No
ORD-0111,2024-10-21,Midwest,Minneapolis,Retail,Gift Card,Other,12,21.25,255.00,Returning,Yes
ORD-0112,2024-10-21,East,Boston,Web,Gift Card,Other,6,25.00,150.00,Returning,No
ORD-0113,2024-10-22,West,Seattle,Web,Espresso Capsules,Coffee,2,16.00,32.00,Returning,No
ORD-0114,2024-10-23,South,Miami,Retail,Ceramic Mug,Merch,1,14.00,14.00,Returning,No
ORD-0115,2024-10-28,East,Philadelphia,Retail,Gift Card,Other,6,21.25,127.50,New,Yes
ORD-0116,2024-10-31,East,New York,Retail,Matcha Powder,Tea,12,22.00,264.00,Returning,No
ORD-0117,2024-11-03,South,Austin,Retail,Ceramic Mug,Merch,1,14.00,14.00,Returning,No
ORD-0118,2024-11-05,Midwest,Detroit,Web,House Blend,Coffee,6,12.50,75.00,Returning,No
ORD-0119,2024-11-06,South,Miami,Retail,Ceramic Mug,Merch,2,14.00,28.00,Returning,No
ORD-0120,2024-11-07,Midwest,Detroit,Retail,Travel Tumbler,Merch,1,28.00,28.00,New,No
ORD-0121,2024-11-08,West,Portland,Web,Chai Concentrate,Tea,2,11.00,22.00,Returning,No
ORD-0122,2024-11-08,Midwest,Minneapolis,Web,Gift Card,Other,2,25.00,50.00,Returning,No
ORD-0123,2024-11-11,South,Austin,Wholesale,Espresso Capsules,Coffee,6,16.00,96.00,Returning,No
ORD-0124,2024-11-12,West,San Francisco,Retail,Matcha Powder,Tea,1,22.00,22.00,Returning,No
ORD-0125,2024-11-16,South,Austin,Retail,Travel Tumbler,Merch,2,28.00,56.00,Returning,No
ORD-0126,2024-11-19,Midwest,Minneapolis,Retail,Matcha Powder,Tea,2,22.00,44.00,New,No
ORD-0127,2024-11-24,Midwest,Detroit,Retail,Gift Card,Other,1,25.00,25.00,Returning,No
ORD-0128,2024-11-27,West,Seattle,Web,House Blend,Coffee,3,12.50,37.50,New,No
ORD-0129,2024-12-01,South,Atlanta,Web,Gift Card,Other,1,25.00,25.00,Returning,No
ORD-0130,2024-12-04,East,New York,Retail,Single Origin Ethiopia,Coffee,1,18.00,18.00,New,No
ORD-0131,2024-12-04,East,Boston,Retail,Ceramic Mug,Merch,1,14.00,14.00,Returning,No
ORD-0132,2024-12-07,South,Austin,Web,Single Origin Ethiopia,Coffee,4,15.30,61.20,Returning,Yes
ORD-0133,2024-12-09,East,Philadelphia,Web,Single Origin Ethiopia,Coffee,2,18.00,36.00,New,No
ORD-0134,2024-12-09,East,Boston,Web,Gift Card,Other,1,25.00,25.00,Returning,No
ORD-0135,2024-12-09,South,Austin,Web,House Blend,Coffee,2,10.62,21.24,New,Yes
ORD-0136,2024-12-11,West,San Francisco,Retail,Espresso Capsules,Coffee,1,16.00,16.00,Returning,No
ORD-0137,2024-12-13,West,San Francisco,Retail,Chai Concentrate,Tea,4,11.00,44.00,Returning,No
ORD-0138,2024-12-13,South,Miami,Wholesale,Single Origin Ethiopia,Coffee,1,18.00,18.00,Returning,No
ORD-0139,2024-12-14,West,San Francisco,Web,Single Origin Ethiopia,Coffee,12,18.00,216.00,New,No
ORD-0140,2024-12-14,Midwest,Minneapolis,Retail,Espresso Capsules,Coffee,6,16.00,96.00,New,No
ORD-0141,2024-12-19,East,Boston,Web,Espresso Capsules,Coffee,3,16.00,48.00,Returning,No
ORD-0142,2024-12-20,East,Boston,Retail,Espresso Capsules,Coffee,1,16.00,16.00,Returning,No
ORD-0143,2024-12-24,Midwest,Minneapolis,Retail,Single Origin Ethiopia,Coffee,6,18.00,108.00,New,No
ORD-0144,2024-12-26,West,San Francisco,Web,Gift Card,Other,2,25.00,50.00,New,No
ORD-0145,2025-01-04,East,New York,Retail,Chai Concentrate,Tea,1,11.00,11.00,Returning,No
ORD-0146,2025-01-05,Midwest,Detroit,Web,Ceramic Mug,Merch,1,14.00,14.00,New,No
ORD-0147,2025-01-06,East,Philadelphia,Retail,House Blend,Coffee,3,10.62,31.86,Returning,Yes
ORD-0148,2025-01-06,South,Austin,Retail,Ceramic Mug,Merch,2,14.00,28.00,New,No
ORD-0149,2025-01-09,Midwest,Minneapolis,Retail,House Blend,Coffee,1,12.50,12.50,Returning,No
ORD-0150,2025-01-12,West,Portland,Retail,Single Origin Ethiopia,Coffee,2,15.30,30.60,Returning,Yes
ORD-0151,2025-01-13,West,Seattle,Retail,Chai Concentrate,Tea,4,11.00,44.00,Returning,No
ORD-0152,2025-01-14,East,New York,Web,Travel Tumbler,Merch,2,28.00,56.00,Returning,No
ORD-0153,2025-01-14,South,Miami,Retail,Single Origin Ethiopia,Coffee,1,18.00,18.00,New,No
ORD-0154,2025-01-16,Midwest,Chicago,Retail,Single Origin Ethiopia,Coffee,1,15.30,15.30,Returning,Yes
ORD-0155,2025-01-17,Midwest,Chicago,Retail,Chai Concentrate,Tea,2,11.00,22.00,Returning,No
ORD-0156,2025-01-18,Midwest,Minneapolis,Retail,Single Origin Ethiopia,Coffee,3,18.00,54.00,Returning,No
ORD-0157,2025-01-22,South,Atlanta,Web,Matcha Powder,Tea,1,22.00,22.00,New,No
ORD-0158,2025-01-23,South,Atlanta,Retail,Ceramic Mug,Merch,2,14.00,28.00,New,No
ORD-0159,2025-01-23,East,New York,Retail,Matcha Powder,Tea,6,22.00,132.00,Returning,No
ORD-0160,2025-01-25,Midwest,Minneapolis,Web,Chai Concentrate,Tea,4,9.35,37.40,Returning,Yes
ORD-0161,2025-01-30,South,Austin,Retail,Travel Tumbler,Merch,1,28.00,28.00,Returning,No
ORD-0162,2025-01-31,South,Austin,Web,House Blend,Coffee,4,10.62,42.48,Returning,Yes
ORD-0163,2025-01-31,South,Austin,Web,Single Origin Ethiopia,Coffee,1,18.00,18.00,Returning,No
ORD-0164,2025-02-02,Midwest,Minneapolis,Retail,Gift Card,Other,4,25.00,100.00,Returning,No
ORD-0165,2025-02-03,West,San Francisco,Wholesale,Travel Tumbler,Merch,1,28.00,28.00,Returning,No
ORD-0166,2025-02-11,East,New York,Retail,Chai Concentrate,Tea,1,11.00,11.00,Returning,No
ORD-0167,2025-02-11,South,Atlanta,Web,Gift Card,Other,1,25.00,25.00,Returning,No
ORD-0168,2025-02-14,East,Philadelphia,Web,Ceramic Mug,Merch,1,14.00,14.00,New,No
ORD-0169,2025-02-14,Midwest,Detroit,Web,Ceramic Mug,Merch,2,14.00,28.00,Returning,No
ORD-0170,2025-02-20,South,Miami,Wholesale,House Blend,Coffee,12,10.62,127.44,Returning,Yes
ORD-0171,2025-02-21,Midwest,Minneapolis,Web,Travel Tumbler,Merch,2,28.00,56.00,Returning,No
ORD-0172,2025-02-22,East,Philadelphia,Wholesale,Single Origin Ethiopia,Coffee,6,18.00,108.00,New,No
ORD-0173,2025-02-24,Midwest,Minneapolis,Web,Ceramic Mug,Merch,1,14.00,14.00,New,No
ORD-0174,2025-03-01,Midwest,Chicago,Wholesale,Ceramic Mug,Merch,1,14.00,14.00,New,No
ORD-0175,2025-03-01,Midwest,Minneapolis,Web,Gift Card,Other,1,21.25,21.25,Returning,Yes
ORD-0176,2025-03-02,South,Atlanta,Retail,House Blend,Coffee,3,10.62,31.86,Returning,Yes
ORD-0177,2025-03-09,Midwest,Minneapolis,Retail,Chai Concentrate,Tea,1,11.00,11.00,Returning,No
ORD-0178,2025-03-09,West,San Francisco,Retail,Ceramic Mug,Merch,2,14.00,28.00,Returning,No
ORD-0179,2025-03-10,East,New York,Wholesale,Gift Card,Other,3,25.00,75.00,Returning,No
ORD-0180,2025-03-12,South,Atlanta,Wholesale,House Blend,Coffee,1,12.50,12.50,Returning,No
ORD-0181,2025-03-22,South,Austin,Retail,Single Origin Ethiopia,Coffee,4,18.00,72.00,Returning,No
ORD-0182,2025-03-24,South,Miami,Web,Single Origin Ethiopia,Coffee,12,15.30,183.60,Returning,Yes
ORD-0183,2025-03-24,Midwest,Minneapolis,Retail,Espresso Capsules,Coffee,1,16.00,16.00,New,No
ORD-0184,2025-03-26,South,Atlanta,Retail,Single Origin Ethiopia,Coffee,3,18.00,54.00,Returning,No
ORD-0185,2025-03-27,East,Boston,Retail,Gift Card,Other,2,25.00,50.00,Returning,No
ORD-0186,2025-04-04,West,Seattle,Web,Gift Card,Other,6,25.00,150.00,Returning,No
ORD-0187,2025-04-04,West,Portland,Web,Ceramic Mug,Merch,2,14.00,28.00,New,No
ORD-0188,2025-04-05,Midwest,Detroit,Wholesale,Single Origin Ethiopia,Coffee,1,18.00,18.00,Returning,No
ORD-0189,2025-04-05,East,Boston,Retail,Single Origin Ethiopia,Coffee,3,15.30,45.90,New,Yes
ORD-0190,2025-04-10,Midwest,Detroit,Retail,Ceramic Mug,Merch,2,14.00,28.00,Returning,No
ORD-0191,2025-04-10,South,Miami,Retail,Ceramic Mug,Merch,2,14.00,28.00,New,No
ORD-0192,2025-04-13,Midwest,Detroit,Web,Gift Card,Other,1,21.25,21.25,New,Yes
ORD-0193,2025-04-14,East,Philadelphia,Retail,Ceramic Mug,Merch,2,14.00,28.00,New,No
ORD-0194,2025-04-15,South,Austin,Retail,Travel Tumbler,Merch,1,28.00,28.00,Returning,No
ORD-0195,2025-04-17,Midwest,Detroit,Web,House Blend,Coffee,1,10.62,10.62,New,Yes
ORD-0196,2025-04-18,South,Miami,Web,Single Origin Ethiopia,Coffee,1,18.00,18.00,Returning,No
ORD-0197,2025-04-21,East,New York,Retail,Gift Card,Other,2,25.00,50.00,Returning,No
ORD-0198,2025-04-26,East,Philadelphia,Retail,Single Origin Ethiopia,Coffee,1,18.00,18.00,New,No
ORD-0199,2025-04-27,Midwest,Minneapolis,Web,Travel Tumbler,Merch,2,28.00,56.00,Returning,No
ORD-0200,2025-04-28,West,San Francisco,Retail,Ceramic Mug,Merch,1,14.00,14.00,Returning,No
ORD-0201,2025-04-29,East,Boston,Web,Gift Card,Other,2,25.00,50.00,New,No
ORD-0202,2025-04-29,Midwest,Detroit,Retail,Ceramic Mug,Merch,2,14.00,28.00,Returning,No
ORD-0203,2025-05-02,South,Austin,Web,Espresso Capsules,Coffee,4,16.00,64.00,Returning,No
ORD-0204,2025-05-04,West,San Francisco,Retail,Espresso Capsules,Coffee,12,16.00,192.00,Returning,No
ORD-0205,2025-05-05,South,Atlanta,Retail,Espresso Capsules,Coffee,1,16.00,16.00,Returning,No
ORD-0206,2025-05-08,East,Philadelphia,Web,Ceramic Mug,Merch,1,14.00,14.00,Returning,No
ORD-0207,2025-05-10,South,Miami,Web,Matcha Powder,Tea,6,22.00,132.00,Returning,No
ORD-0208,2025-05-11,West,Seattle,Retail,Matcha Powder,Tea,12,22.00,264.00,New,No
ORD-0209,2025-05-16,South,Austin,Web,Travel Tumbler,Merch,1,28.00,28.00,Returning,No
ORD-0210,2025-05-17,West,Portland,Retail,Matcha Powder,Tea,6,22.00,132.00,New,No
ORD-0211,2025-05-20,Midwest,Detroit,Wholesale,Matcha Powder,Tea,4,22.00,88.00,Returning,No
ORD-0212,2025-05-22,East,Boston,Wholesale,Espresso Capsules,Coffee,1,16.00,16.00,New,No
ORD-0213,2025-05-25,West,San Francisco,Retail,Gift Card,Other,4,25.00,100.00,Returning,No
ORD-0214,2025-05-29,Midwest,Detroit,Retail,Travel Tumbler,Merch,1,23.80,23.80,Returning,Yes
ORD-0215,2025-06-05,West,Portland,Retail,Single Origin Ethiopia,Coffee,1,18.00,18.00,Returning,No
ORD-0216,2025-06-08,South,Atlanta,Retail,Travel Tumbler,Merch,2,28.00,56.00,New,No
ORD-0217,2025-06-10,West,Portland,Retail,Matcha Powder,Tea,3,22.00,66.00,Returning,No
ORD-0218,2025-06-11,Midwest,Chicago,Web,Single Origin Ethiopia,Coffee,6,15.30,91.80,Returning,Yes
ORD-0219,2025-06-15,Midwest,Minneapolis,Web,Espresso Capsules,Coffee,6,16.00,96.00,New,No
ORD-0220,2025-06-16,West,Portland,Retail,Chai Concentrate,Tea,2,11.00,22.00,Returning,No
ORD-0221,2025-06-17,Midwest,Minneapolis,Web,Matcha Powder,Tea,2,22.00,44.00,Returning,No
ORD-0222,2025-06-19,East,Philadelphia,Retail,House Blend,Coffee,1,12.50,12.50,Returning,No
ORD-0223,2025-06-21,East,New York,Retail,Chai Concentrate,Tea,6,11.00,66.00,Returning,No
ORD-0224,2025-06-23,East,New York,Web,Matcha Powder,Tea,1,22.00,22.00,New,No
ORD-0225,2025-06-25,Midwest,Detroit,Retail,Single Origin Ethiopia,Coffee,4,18.00,72.00,New,No
ORD-0226,2025-06-27,South,Austin,Retail,Single Origin Ethiopia,Coffee,2,18.00,36.00,New,No
ORD-0227,2025-06-30,Midwest,Detroit,Wholesale,Espresso Capsules,Coffee,6,16.00,96.00,New,No
ORD-0228,2025-06-30,West,Seattle,Retail,Matcha Powder,Tea,2,22.00,44.00,New,No
ORD-0229,2025-07-04,West,Seattle,Retail,Matcha Powder,Tea,6,22.00,132.00,New,No
ORD-0230,2025-07-09,Midwest,Chicago,Retail,Chai Concentrate,Tea,2,9.35,18.70,New,Yes
ORD-0231,2025-07-10,South,Austin,Retail,Chai Concentrate,Tea,3,11.00,33.00,Returning,No
ORD-0232,2025-07-12,West,Seattle,Retail,Matcha Powder,Tea,2,22.00,44.00,New,No
ORD-0233,2025-07-12,West,San Francisco,Web,Travel Tumbler,Merch,2,28.00,56.00,New,No
ORD-0234,2025-07-17,East,Boston,Web,Travel Tumbler,Merch,1,28.00,28.00,New,No
ORD-0235,2025-07-21,Midwest,Chicago,Retail,Chai Concentrate,Tea,2,9.35,18.70,New,Yes
ORD-0236,2025-07-21,South,Miami,Retail,Matcha Powder,Tea,4,22.00,88.00,New,No
ORD-0237,2025-07-23,West,Portland,Retail,Matcha Powder,Tea,6,22.00,132.00,Returning,No
ORD-0238,2025-07-27,South,Austin,Web,Ceramic Mug,Merch,1,14.00,14.00,Returning,No
ORD-0239,2025-07-28,South,Miami,Web,Travel Tumbler,Merch,1,28.00,28.00,Returning,No
ORD-0240,2025-08-02,West,Portland,Retail,Ceramic Mug,Merch,2,14.00,28.00,Returning,No
