"order_id","order_date","region","city","cuisine","restaurant","daypart","platform","membership","weather","promo","items","distance_km","delivery_min","subtotal","tip","total","rating"
"FD-0075","2024-08-22","South","Miami","Ramen","Tonkotsu Lab","Late Night","Android","Plus","Cloudy","No",4,2.65,17.1,23.53,2.84,26.37,4.5
"FD-0076","2024-08-22","West","Portland","Thai","Bangkok Alley","Lunch","Web","Pro","Clear","No",5,3.65,31.4,25.56,6.18,31.74,4.5
"FD-0077","2024-08-22","South","Miami","Pizza","Slice Theory","Afternoon","Android","Free","Rain","Yes",4,2.65,23.3,13.25,2.15,15.4,4.5
"FD-0078","2024-08-24","West","Portland","Mexican","Taco Libre","Afternoon","iOS","Plus","Cloudy","Yes",1,6.35,37,6.38,0.92,7.3,4
"FD-0079","2024-08-25","West","Portland","Pizza","Slice Theory","Lunch","Android","Free","Cloudy","No",4,2.75,31.3,24.03,2.61,26.64,3.5
"FD-0080","2024-08-26","South","Austin","Mediterranean","Olive & Fig","Dinner","iOS","Plus","Cloudy","Yes",5,2.23,24.8,24.23,4.65,28.88,4
"FD-0081","2024-08-28","South","Miami","Ramen","Tonkotsu Lab","Dinner","iOS","Pro","Clear","No",2,7.61,41.5,17.04,3.43,20.47,4.5
"FD-0082","2024-08-29","West","Portland","Burgers","Gold Bun","Dinner","iOS","Pro","Clear","No",7,7.98,49.2,23.05,4.7,27.75,4
"FD-0083","2024-08-29","West","Portland","Mexican","Taco Libre","Lunch","Android","Plus","Clear","No",4,2.85,23.1,17.66,2.61,20.27,4
"FD-0084","2024-08-29","West","Portland","Pizza","Slice Theory","Afternoon","iOS","Free","Clear","Yes",3,3.02,24,12.23,1.86,14.09,4
"FD-0085","2024-08-31","West","Denver","Ramen","Broth & Bone","Dinner","Android","Plus","Snow","Yes",2,1.35,31.7,15.78,2.44,18.22,4.5
"FD-0086","2024-09-02","West","Denver","Mexican","Taco Libre","Lunch","Android","Pro","Clear","Yes",2,5.75,41.1,14.33,3.94,18.27,3.5
"FD-0087","2024-09-02","South","Austin","Indian","Cardamom Cart","Afternoon","Android","Free","Rain","No",3,4.82,40.9,13.95,2.91,16.86,4
"FD-0088","2024-09-03","South","Miami","Indian","Tandoor Lane","Afternoon","iOS","Pro","Clear","No",4,5.04,36.5,14.03,1.59,15.62,3.5
"FD-0089","2024-09-03","West","Seattle","Mexican","Chile Verde","Afternoon","Android","Plus","Clear","No",2,3.63,25.7,13.73,2.51,16.24,4
"FD-0090","2024-09-04","Midwest","Chicago","Indian","Cardamom Cart","Dinner","iOS","Plus","Cloudy","No",2,3.58,35.3,22.11,4.21,26.32,3.5
"FD-0091","2024-09-04","East","Boston","Mexican","Chile Verde","Dinner","iOS","Plus","Clear","No",2,3.18,35.6,16.18,2.66,18.84,4
"FD-0092","2024-09-06","West","Portland","Burgers","Patty Wagon","Lunch","Web","Pro","Clear","No",3,5.96,33,14.8,2.49,17.29,4
"FD-0093","2024-09-07","West","Seattle","Burgers","Smash District","Lunch","iOS","Free","Rain","Yes",4,2.86,34.9,13.82,3.22,17.04,3.5
"FD-0094","2024-09-09","Midwest","Chicago","Pizza","Slice Theory","Dinner","iOS","Plus","Cloudy","Yes",3,8.75,48.4,17.41,4.2,21.61,3.5
"FD-0095","2024-09-11","South","Austin","Mexican","Chile Verde","Dinner","Android","Plus","Clear","No",4,4.14,34.4,22.07,1.55,23.62,4
"FD-0096","2024-09-12","West","Portland","Ramen","Midnight Noodle","Dinner","iOS","Free","Clear","Yes",4,6.87,37.5,13.09,0,13.09,3.5
"FD-0097","2024-09-14","South","Miami","Mediterranean","Pita Press","Dinner","Web","Free","Clear","Yes",3,2.21,26.2,13.12,0.94,14.06,4
"FD-0098","2024-09-16","East","Boston","Mexican","Masa & Lime","Dinner","Android","Pro","Clear","No",4,2.84,30.1,16.22,2.3,18.52,4
"FD-0099","2024-09-17","East","Boston","Burgers","Smash District","Dinner","Android","Free","Clear","No",2,9.12,53.4,15.56,1.02,16.58,3
"FD-0100","2024-09-17","South","Nashville","Thai","Bangkok Alley","Lunch","Android","Plus","Clear","No",6,8.97,52,16.44,2.52,18.96,2.5
"FD-0101","2024-09-17","South","Nashville","Indian","Tandoor Lane","Dinner","iOS","Free","Rain","Yes",3,2.7,37,18.06,2.25,20.31,4
"FD-0102","2024-09-18","Midwest","Chicago","Mediterranean","Olive & Fig","Late Night","iOS","Free","Clear","No",3,2.42,18.1,16.13,0.68,16.81,4
"FD-0103","2024-09-18","Midwest","Chicago","Thai","Lemongrass Cart","Late Night","iOS","Free","Clear","Yes",4,5.4,28,20.66,3.22,23.88,4.5
"FD-0104","2024-09-18","South","Austin","Ramen","Tonkotsu Lab","Late Night","Android","Pro","Clear","No",6,5.29,32.1,33.17,5.23,38.4,4.5
"FD-0105","2024-09-19","South","Austin","Burgers","Gold Bun","Late Night","iOS","Plus","Clear","Yes",5,2.78,21.6,15.61,3.06,18.67,4
"FD-0106","2024-09-19","South","Miami","Ramen","Midnight Noodle","Late Night","iOS","Plus","Clear","No",2,9.26,42.4,20.65,1.78,22.43,3.5
"FD-0107","2024-09-20","West","Seattle","Indian","Cardamom Cart","Lunch","Android","Free","Clear","Yes",2,2.88,35.4,16.93,2.52,19.45,3.5
"FD-0108","2024-09-20","Midwest","Chicago","Mexican","Masa & Lime","Late Night","Android","Free","Rain","No",6,3.81,37.2,19.62,2.19,21.81,4
"FD-0109","2024-09-21","East","Boston","Ramen","Broth & Bone","Lunch","Web","Plus","Clear","No",1,3.56,27.2,11.02,2.19,13.21,4
"FD-0110","2024-09-22","West","Seattle","Thai","Lemongrass Cart","Afternoon","Android","Pro","Cloudy","No",3,1.74,21.7,20.04,4.48,24.52,5
"FD-0111","2024-09-22","South","Austin","Mexican","Chile Verde","Dinner","Web","Plus","Cloudy","No",3,4.88,40.5,26.88,4.6,31.48,3.5
"FD-0112","2024-09-23","South","Austin","Pizza","Wood Oven Co","Dinner","Web","Plus","Clear","No",3,2.49,23.6,19.65,4.43,24.08,4
"FD-0113","2024-09-23","West","Seattle","Pizza","Wood Oven Co","Dinner","Android","Free","Cloudy","No",5,1.15,21.8,22.83,2.52,25.35,4
"FD-0114","2024-09-24","West","Denver","Mexican","Chile Verde","Afternoon","Android","Free","Clear","No",3,4.73,26.1,9.61,1.27,10.88,4.5
"FD-0115","2024-09-24","South","Miami","Mexican","Taco Libre","Afternoon","iOS","Free","Cloudy","No",3,3.88,27.7,8.97,1.61,10.58,3.5
"FD-0116","2024-09-25","West","Denver","Mexican","Chile Verde","Lunch","Android","Free","Clear","Yes",3,4.6,35.9,14.76,2.58,17.34,3.5
"FD-0117","2024-09-25","West","Seattle","Thai","Night Market Bowl","Lunch","Android","Pro","Clear","No",3,3.09,28.2,14.32,2.69,17.01,4.5
"FD-0118","2024-09-27","West","Portland","Ramen","Tonkotsu Lab","Dinner","iOS","Plus","Cloudy","No",3,4.64,43.6,15.43,3.64,19.07,4
"FD-0119","2024-09-27","South","Austin","Mexican","Masa & Lime","Afternoon","Android","Free","Clear","No",3,4.5,30.1,10.64,0.79,11.43,4
"FD-0120","2024-09-30","West","Portland","Sushi","Omakase Express","Dinner","Android","Free","Cloudy","No",4,6.33,49.8,24.85,3.88,28.73,3.5
"FD-0121","2024-10-01","West","Portland","Mediterranean","Olive & Fig","Late Night","Android","Plus","Clear","No",3,4.22,26.9,25.22,3.69,28.91,4
"FD-0122","2024-10-03","South","Austin","Mexican","Chile Verde","Late Night","Android","Free","Rain","No",4,2.03,21.1,12.06,0.98,13.04,4.5
"FD-0123","2024-10-03","South","Austin","Ramen","Midnight Noodle","Dinner","Android","Plus","Rain","No",2,2.66,34.7,16.59,2.88,19.47,4
"FD-0124","2024-10-05","Midwest","Chicago","Burgers","Smash District","Dinner","Android","Plus","Cloudy","No",3,4.53,35,20.02,4.09,24.11,4.5
"FD-0125","2024-10-06","South","Miami","Thai","Lemongrass Cart","Lunch","Android","Free","Snow","No",3,4.8,52.7,23.53,3.82,27.35,3
"FD-0126","2024-10-06","West","Portland","Burgers","Smash District","Lunch","Android","Free","Clear","No",3,1.69,21.1,9.49,0.86,10.35,3.5
"FD-0127","2024-10-07","Midwest","Chicago","Sushi","Pacific Roll","Late Night","iOS","Pro","Rain","Yes",5,2.61,26.9,21.27,6.62,27.89,4
"FD-0128","2024-10-07","Midwest","Chicago","Thai","Night Market Bowl","Lunch","Web","Free","Cloudy","No",2,4.31,37.5,22.31,2.33,24.64,4
"FD-0129","2024-10-09","West","Denver","Burgers","Patty Wagon","Dinner","iOS","Pro","Rain","No",2,6.53,47.2,20.54,2.91,23.45,3.5
"FD-0130","2024-10-09","West","Portland","Mexican","Taco Libre","Late Night","iOS","Plus","Clear","Yes",3,3.43,18.1,13.88,3.04,16.92,4
"FD-0131","2024-10-10","South","Austin","Indian","Tandoor Lane","Dinner","iOS","Free","Clear","Yes",3,2.24,27.4,18.39,3.82,22.21,3.5
"FD-0132","2024-10-12","West","Portland","Sushi","Omakase Express","Late Night","iOS","Plus","Rain","Yes",3,4.8,41,21.65,3.47,25.12,4
"FD-0133","2024-10-14","South","Miami","Mediterranean","Pita Press","Dinner","Web","Pro","Rain","No",3,1.83,32.6,23.39,4.17,27.56,4
"FD-0134","2024-10-15","West","Seattle","Burgers","Patty Wagon","Dinner","Android","Free","Clear","No",3,3.56,30.9,15,0.82,15.82,4
"FD-0135","2024-10-15","South","Austin","Mexican","Chile Verde","Dinner","Android","Free","Clear","No",2,3.04,35.1,15.04,2.3,17.34,4
"FD-0136","2024-10-17","West","Denver","Mediterranean","Pita Press","Dinner","iOS","Free","Clear","No",4,4.59,38.3,19.86,1.56,21.42,4
"FD-0137","2024-10-17","West","Seattle","Ramen","Broth & Bone","Afternoon","Android","Free","Snow","No",4,1.15,27.5,20.36,0.73,21.09,4.5
"FD-0138","2024-10-17","West","Denver","Mediterranean","Citrus Grill","Dinner","iOS","Free","Clear","No",3,3.2,30.5,15.16,3.27,18.43,4.5
"FD-0139","2024-10-18","West","Seattle","Ramen","Midnight Noodle","Dinner","Android","Free","Cloudy","No",2,2.44,26,18.06,2.26,20.32,4
"FD-0140","2024-10-20","Midwest","Chicago","Pizza","Slice Theory","Lunch","iOS","Plus","Rain","No",3,3.54,35,21.98,2.8,24.78,5
"FD-0141","2024-10-20","South","Nashville","Mediterranean","Pita Press","Dinner","iOS","Free","Clear","No",2,3.95,29.8,19.43,3.5,22.93,4
"FD-0142","2024-10-25","West","Portland","Mexican","Masa & Lime","Late Night","Web","Plus","Cloudy","No",3,7.61,36.4,16.68,2.35,19.03,3.5
"FD-0143","2024-10-25","Midwest","Chicago","Indian","Masala Hour","Late Night","Android","Free","Rain","No",2,4.85,38.2,14.21,1.05,15.26,4
"FD-0144","2024-10-26","East","Boston","Sushi","Omakase Express","Late Night","Web","Free","Clear","No",3,2.96,20.5,24.04,3.04,27.08,4.5
"FD-0145","2024-10-26","South","Nashville","Sushi","Pacific Roll","Dinner","iOS","Plus","Cloudy","No",4,5.32,38.4,30.01,5.24,35.25,4
"FD-0146","2024-10-27","East","Boston","Indian","Cardamom Cart","Dinner","Android","Plus","Rain","No",4,4.3,43.4,28.65,5.15,33.8,4
"FD-0147","2024-10-28","South","Nashville","Ramen","Midnight Noodle","Lunch","iOS","Free","Rain","No",3,5.02,47.3,18.69,3.42,22.11,3.5
"FD-0148","2024-10-29","West","Seattle","Indian","Cardamom Cart","Lunch","Web","Free","Cloudy","No",5,3.29,26.5,23.77,3.36,27.13,4.5
"FD-0149","2024-10-29","South","Austin","Mediterranean","Pita Press","Late Night","iOS","Free","Clear","No",1,5.63,30.9,12.61,0.96,13.57,3.5
"FD-0150","2024-10-31","West","Denver","Sushi","Pacific Roll","Dinner","Web","Pro","Clear","No",4,2.83,30.7,36,8.18,44.18,3.5
"FD-0151","2024-11-01","East","Boston","Sushi","Omakase Express","Lunch","Android","Plus","Clear","No",5,4,26.5,20.76,2.76,23.52,4
"FD-0152","2024-11-01","South","Miami","Mediterranean","Pita Press","Late Night","Android","Free","Cloudy","No",3,5.44,32.9,15.13,2.16,17.29,4.5
"FD-0153","2024-11-04","West","Denver","Thai","Bangkok Alley","Late Night","iOS","Pro","Clear","No",5,1.11,18.1,23.29,3.78,27.07,4
"FD-0154","2024-11-04","West","Portland","Mediterranean","Olive & Fig","Dinner","iOS","Pro","Clear","No",3,4.02,36.2,17.96,4.18,22.14,4
"FD-0155","2024-11-05","East","Boston","Indian","Tandoor Lane","Dinner","Android","Free","Rain","Yes",3,4.07,37.6,20.08,2.35,22.43,3.5
"FD-0156","2024-11-05","South","Austin","Burgers","Patty Wagon","Dinner","Android","Pro","Clear","No",3,4.42,37.6,16.92,3.12,20.04,4
"FD-0157","2024-11-06","South","Austin","Mexican","Chile Verde","Dinner","Web","Free","Rain","Yes",3,2.16,37.4,13.77,1.46,15.23,3.5
"FD-0158","2024-11-06","West","Denver","Pizza","Wood Oven Co","Afternoon","Android","Free","Snow","No",4,2.75,35.2,16.86,2.33,19.19,3.5
"FD-0159","2024-11-07","West","Seattle","Pizza","Wood Oven Co","Dinner","iOS","Free","Clear","No",5,6.41,42.4,26.1,3.4,29.5,3.5
"FD-0160","2024-11-07","South","Nashville","Mediterranean","Pita Press","Dinner","Web","Free","Rain","Yes",5,2.36,32,23.25,3.56,26.81,4
"FD-0161","2024-11-10","West","Denver","Mediterranean","Citrus Grill","Lunch","Android","Pro","Clear","No",3,3.44,32.3,17.78,3.92,21.7,4.5
"FD-0162","2024-11-11","West","Portland","Mediterranean","Citrus Grill","Dinner","iOS","Free","Cloudy","No",7,5.06,47.5,24.41,2.38,26.79,3
"FD-0163","2024-11-13","West","Denver","Mexican","Taco Libre","Dinner","iOS","Pro","Cloudy","No",3,1.9,24.8,19.75,3.8,23.55,4.5
"FD-0164","2024-11-13","West","Seattle","Burgers","Patty Wagon","Lunch","Web","Free","Clear","No",3,3.16,25.6,16.35,1.98,18.33,4
"FD-0165","2024-11-17","West","Denver","Sushi","Omakase Express","Afternoon","iOS","Free","Clear","No",5,3.23,29,22.49,3.22,25.71,4.5
"FD-0166","2024-11-18","South","Nashville","Mexican","Masa & Lime","Dinner","Web","Plus","Snow","No",2,5.7,48.5,18.7,3.86,22.56,4
"FD-0167","2024-11-18","East","Boston","Ramen","Midnight Noodle","Late Night","Android","Free","Rain","No",3,3.51,29.9,14.93,2.13,17.06,4
"FD-0168","2024-11-19","West","Portland","Thai","Bangkok Alley","Afternoon","Android","Plus","Cloudy","No",3,4.29,30.7,13.24,2.42,15.66,4.5
"FD-0169","2024-11-20","South","Austin","Pizza","Wood Oven Co","Late Night","Android","Free","Clear","Yes",4,7.85,42.3,20.39,2.46,22.85,3.5
"FD-0170","2024-11-21","South","Nashville","Sushi","Pacific Roll","Dinner","iOS","Plus","Cloudy","No",7,2.38,30.8,24.23,4.29,28.52,3.5
"FD-0171","2024-11-22","West","Seattle","Burgers","Gold Bun","Afternoon","Android","Pro","Clear","No",2,2.97,22.2,11.8,2.28,14.08,4
"FD-0172","2024-11-26","South","Miami","Ramen","Midnight Noodle","Dinner","Android","Plus","Rain","Yes",3,2.48,34.8,13.38,3.28,16.66,3.5
"FD-0173","2024-11-27","West","Portland","Pizza","Late Night Pie","Dinner","Web","Plus","Clear","No",4,2.87,31.6,28.76,4.24,33,3.5
"FD-0174","2024-11-28","West","Denver","Mediterranean","Citrus Grill","Dinner","iOS","Free","Cloudy","No",3,2.57,29.8,13.24,0.94,14.18,3
"FD-0175","2024-11-28","South","Nashville","Mediterranean","Citrus Grill","Dinner","iOS","Free","Clear","No",5,1.82,21.8,16.47,2.46,18.93,4.5
"FD-0176","2024-11-29","South","Nashville","Pizza","Wood Oven Co","Late Night","Web","Plus","Clear","Yes",4,2.26,16.7,22.84,3.08,25.92,3.5
"FD-0177","2024-11-29","South","Nashville","Ramen","Tonkotsu Lab","Lunch","Web","Free","Rain","Yes",1,2.72,29.5,10.99,2.95,13.94,4
"FD-0178","2024-11-29","South","Austin","Indian","Tandoor Lane","Dinner","Android","Free","Snow","No",3,1.27,41.5,25.06,2.02,27.08,3
"FD-0179","2024-11-30","Midwest","Chicago","Indian","Tandoor Lane","Afternoon","Android","Pro","Clear","No",2,1.75,17.6,19.68,3.16,22.84,5
